scenario_id,bonding_id,bonding_label,switching_angle_deg,switching_time_s,grounded_sending,grounded_receiving,cross_bonded,core_voltage_peak_kv,core_voltage_peak_channel,core_voltage_peak_time_ms,core_current_peak_ka,core_current_peak_channel,core_current_peak_time_ms,sheath_voltage_peak_kv,sheath_voltage_peak_channel,sheath_voltage_peak_time_ms,sheath_current_peak_ka,sheath_current_peak_channel,sheath_current_peak_time_ms,ground_current_peak_ka,ground_current_peak_channel,ground_current_peak_time_ms,nominal_phase_peak_kv,core_voltage_peak_pu
single_point_pow_060deg,single_point,Single-point bonded,60,0.02333333333,True,False,False,362.169221,v_core_recv_c_kv,1.345666667,3.13108,i_core_send_c_ka,2.042666667,45.276183,v_sheath_recv_c_kv,5.257666667,2.766759,i_sheath_send_c_ka,0.6156666667,2.766759,i_ground_send_c_ka,0.6156666667,179.6292478,2.016204073
single_point_pow_000deg,single_point,Single-point bonded,0,0.02,True,False,False,361.400293,v_core_recv_a_kv,1.345,3.127699,i_core_send_a_ka,2.043,41.953431,v_sheath_recv_a_kv,8.023,2.774639,i_sheath_send_a_ka,0.618,2.774639,i_ground_send_a_ka,0.618,179.6292478,2.011923434
single_point_pow_120deg,single_point,Single-point bonded,120,0.02666666667,True,False,False,360.818138,v_core_recv_b_kv,1.335333333,3.140078,i_core_send_b_ka,2.040333333,35.036629,v_sheath_recv_b_kv,4.900333333,2.703965,i_sheath_send_b_ka,0.6183333333,2.703965,i_ground_send_b_ka,0.6183333333,179.6292478,2.008682564
isolated_pow_150deg,isolated,Isolated screen,150,0.02833333333,False,False,False,356.254085,v_core_recv_a_kv,1.320666667,2.3787,i_core_send_b_ka,1.857666667,119.202359,v_sheath_recv_a_kv,1.232666667,0,i_sheath_send_a_ka,0.001666666667,0,i_ground_send_a_ka,0.001666666667,179.6292478,1.98327438
single_point_pow_030deg,single_point,Single-point bonded,30,0.02166666667,True,False,False,352.051949,v_core_recv_c_kv,1.398333333,2.90647,i_core_send_a_ka,2.008333333,49.043673,v_sheath_recv_c_kv,8.055333333,2.598752,i_sheath_send_c_ka,0.6453333333,2.598752,i_ground_send_c_ka,0.6453333333,179.6292478,1.959880995
single_point_pow_150deg,single_point,Single-point bonded,150,0.02833333333,True,False,False,350.609565,v_core_recv_a_kv,1.390666667,2.92183,i_core_send_b_ka,2.002666667,30.68977,v_sheath_recv_b_kv,4.867666667,2.561722,i_sheath_send_a_ka,0.6506666667,2.561722,i_ground_send_a_ka,0.6506666667,179.6292478,1.951851212
isolated_pow_090deg,isolated,Isolated screen,90,0.025,False,False,False,350.555862,v_core_recv_b_kv,1.308,2.396615,i_core_send_c_ka,1.933,110.81036,v_sheath_recv_b_kv,1.173,0,i_sheath_send_a_ka,0,0,i_ground_send_a_ka,0,179.6292478,1.951552246
single_point_pow_090deg,single_point,Single-point bonded,90,0.025,True,False,False,350.105886,v_core_recv_b_kv,1.38,2.918046,i_core_send_c_ka,2.005,35.498343,v_sheath_recv_c_kv,5.12,2.520197,i_sheath_send_b_ka,0.65,2.520197,i_ground_send_b_ka,0.65,179.6292478,1.94904722
both_ends_pow_120deg,both_ends,Bonded at both ends,120,0.02666666667,True,True,False,345.23417,v_core_recv_b_kv,1.358333333,3.106889,i_core_send_b_ka,0.6453333333,0,v_sheath_send_a_kv,0.0003333333333,3.066396,i_sheath_send_b_ka,1.993333333,3.066396,i_ground_send_b_ka,1.993333333,179.6292478,1.921926269
both_ends_pow_060deg,both_ends,Bonded at both ends,60,0.02333333333,True,True,False,344.415466,v_core_recv_c_kv,1.355666667,3.104008,i_core_send_c_ka,0.6456666667,0,v_sheath_send_a_kv,0.001666666667,3.185688,i_sheath_send_c_ka,2.002666667,3.185688,i_ground_send_c_ka,2.002666667,179.6292478,1.917368526
both_ends_pow_000deg,both_ends,Bonded at both ends,0,0.02,True,True,False,344.164208,v_core_recv_a_kv,1.355,3.10381,i_core_send_a_ka,0.645,0,v_sheath_send_a_kv,0,3.13845,i_sheath_send_a_ka,2.005,3.13845,i_ground_send_a_ka,2.005,179.6292478,1.915969767
both_ends_pow_090deg,both_ends,Bonded at both ends,90,0.025,True,True,False,336.016557,v_core_recv_b_kv,1.408,2.898841,i_core_send_b_ka,0.678,0,v_sheath_send_a_kv,0,2.879185,i_sheath_send_c_ka,1.955,2.879185,i_ground_send_c_ka,1.955,179.6292478,1.870611613
both_ends_pow_150deg,both_ends,Bonded at both ends,150,0.02833333333,True,True,False,335.26534,v_core_recv_a_kv,1.405666667,2.8969,i_core_send_a_ka,0.6776666667,0,v_sheath_send_a_kv,0.001666666667,2.789643,i_sheath_send_b_ka,1.942666667,2.789643,i_ground_send_b_ka,1.942666667,179.6292478,1.866429571
both_ends_pow_030deg,both_ends,Bonded at both ends,30,0.02166666667,True,True,False,334.823488,v_core_recv_c_kv,1.405333333,2.894912,i_core_send_c_ka,0.6783333333,0,v_sheath_send_a_kv,0.0003333333333,2.888538,i_sheath_send_a_ka,1.970333333,2.888538,i_ground_send_a_ka,1.970333333,179.6292478,1.863969772
